District,Upazilla,Union,Storm Speed (m/s),Storm Surge (m),Rainfall (mm)
Barguna,Amtali,Amtali,17.1756,0.1987,61.6862
Barguna,Amtali,Arpangashia,16.7203,0.1882,62.9238
Barguna,Amtali,Atharogachhia,17.3406,0.0946,47.1082
Barguna,Amtali,Chaora,16.6457,0.1326,50.9775
Barguna,Amtali,‌Gulisakhali,16.6457,0.0859,50.9775
Barguna,Amtali,Haldia,18.3049,0.1421,49.4233
Barguna,Amtali,Kukua,16.6457,0.0942,50.9775
Barguna,Amtali,Ward No. 01,15.755,0.1326,57.6998
Barguna,Amtali,Ward No. 02,15.755,0.1326,57.6998
Barguna,Amtali,Ward No. 03,16.1309,0.1326,62.5958
Barguna,Amtali,Ward No. 04,16.1309,0.1637,62.5958
Barguna,Amtali,Ward No. 05,16.1309,0.1637,62.5958
Barguna,Amtali,Ward No. 06,16.1309,0.1326,62.5958
Barguna,Amtali,Ward No. 07,16.7203,0.1637,62.9238
Barguna,Amtali,Ward No. 08,16.7203,0.1785,62.9238
Barguna,Amtali,Ward No. 09,16.1309,0.1637,62.5958
Barguna,Bamna,Bamna,15.3556,0.212,62.3868
Barguna,Bamna,Bukabunia,14.9517,0.212,67.1027
Barguna,Bamna,Douatala,15.0822,0.212,68.0945
Barguna,Bamna,Ramna,15.3556,0.212,62.3868
Barguna,Barguna Sadar,Ayla Patakata,15.755,0.142,57.6998
Barguna,Barguna Sadar,Badarkhali,15.3556,0.2024,62.3868
Barguna,Barguna Sadar,Barguna,16.5456,0.2812,71.2055
Barguna,Barguna Sadar,Burirchar,16.1309,0.1661,62.5958
Barguna,Barguna Sadar,Dhalua,16.5456,0.0426,71.2055
Barguna,Barguna Sadar,Gourichanna,15.3556,0.2267,62.3868
Barguna,Barguna Sadar,Keorabania,15.3556,0.1728,62.3868
Barguna,Barguna Sadar,M Baliatali,17.2992,0.2576,70.4031
Barguna,Barguna Sadar,Naltona,16.2492,0.2618,75.76
Barguna,Barguna Sadar,Phuljhuri,15.3556,0.2024,62.3868
Barguna,Barguna Sadar,Ward No. 01,16.1309,0.2501,62.5958
Barguna,Barguna Sadar,Ward No. 02,16.1309,0.2501,62.5958
Barguna,Barguna Sadar,Ward No. 03,16.1309,0.2501,62.5958
Barguna,Barguna Sadar,Ward No. 04,15.8335,0.2812,64.8794
Barguna,Barguna Sadar,Ward No. 05,15.8335,0.2812,64.8794
Barguna,Barguna Sadar,Ward No. 06,16.1309,0.2812,62.5958
Barguna,Barguna Sadar,Ward No. 07,15.8335,0.2812,64.8794
Barguna,Barguna Sadar,Ward No. 08,15.8335,0.2812,64.8794
Barguna,Barguna Sadar,Ward No. 09,15.8335,0.2812,64.8794
Barguna,Betagi,Betagi,15.229,0.1139,55.849
Barguna,Betagi,Bibichini,15.5418,0.0447,50.7647
Barguna,Betagi,Bura Mazumdar,15.3556,0.178,62.3868
Barguna,Betagi,Hosnabad,15.5925,0.178,56.5823
Barguna,Betagi,Kazirabad,14.9971,0.2024,52.6269
Barguna,Betagi,Mokamia,15.5925,0.178,56.5823
Barguna,Betagi,Sarishamuri,15.3556,0.2024,62.3868
Barguna,Betagi,Ward No. 01,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 02,15.229,0.1139,55.849
Barguna,Betagi,Ward No. 03,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 04,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 05,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 06,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 07,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 08,15.229,0.1464,55.849
Barguna,Betagi,Ward No. 09,15.229,0.1464,55.849
Barguna,Patharghata,Char Duani,15.5974,0.3413,83.0302
Barguna,Patharghata,Kakchira,15.0822,0.2678,68.0945
Barguna,Patharghata,Kalamegha,16.0253,0.2888,81.7385
Barguna,Patharghata,Kanthaltali,15.5974,0.3477,83.0302
Barguna,Patharghata,Nachnapara,14.9553,0.2441,81.668
Barguna,Patharghata,Patharghata,16.2837,0.3322,90.5517
Barguna,Patharghata,Rayhanpur,14.4911,0.212,72.7876
Barguna,Patharghata,Ward No. 01,16.0253,0.2746,81.7385
Barguna,Patharghata,Ward No. 02,16.0253,0.298,81.7385
Barguna,Patharghata,Ward No. 03,16.0253,0.3164,81.7385
Barguna,Patharghata,Ward No. 04,16.0253,0.3164,81.7385
Barguna,Patharghata,Ward No. 05,16.0253,0.325,81.7385
Barguna,Patharghata,Ward No. 06,16.0253,0.2971,81.7385
Barguna,Patharghata,Ward No. 07,16.0253,0.2828,81.7385
Barguna,Patharghata,Ward No. 08,16.0253,0.2871,81.7385
Barguna,Patharghata,Ward No. 09,16.0253,0.288,81.7385
Barguna,Taltali,Barabagi,17.2992,0.2385,70.4031
Barguna,Taltali,Chhotabagi,17.2992,0.2259,70.4031
Barguna,Taltali,Karaibaria,16.6247,0.2495,82.981
Barguna,Taltali,Nishanbaria,16.8881,0.2448,76.3587
Barguna,Taltali,Pachakoralia,17.2992,0.2126,70.4031
Barguna,Taltali,Sarikkhali,17.2992,0.2323,70.4031
Barguna,Taltali,Sonakata,17.9469,0.215,69.5079
Barishal,Agailjhara,Bagdha,14.4396,0.2005,73.2181
Barishal,Agailjhara,Bakal,13.746,0.2319,55.4954
Barishal,Agailjhara,Gaila,14.4396,0.2319,73.2181
Barishal,Agailjhara,Rajihar,14.4396,0.2639,73.2181
Barishal,Agailjhara,Ratnapur,14.4396,0.2005,73.2181
Barishal,Babuganj,Chandpasha,15.59,0.0455,43.9409
Barishal,Babuganj,Dehergati,14.9914,0.0743,45.0244
Barishal,Babuganj,Jahangirnagar,14.6607,0.1974,47.3921
Barishal,Babuganj,Kedarpur,14.9914,0.1356,45.0244
Barishal,Babuganj,Madhabpasa,14.9845,0.0455,48.5728
Barishal,Babuganj,Rahmatpur,14.9914,0.0743,45.0244
Barishal,Bakerganj,Bharpasha,16.2491,0.0452,41.8456
Barishal,Bakerganj,Charadi,16.1843,0.0452,40.959
Barishal,Bakerganj,Charamaddi,15.9061,0.0455,42.2647
Barishal,Bakerganj,Darial,15.9061,0.0452,42.2647
Barishal,Bakerganj,Dudhal,16.1843,0.0452,40.959
Barishal,Bakerganj,Durgapasha,17.5768,0.0541,33.091
Barishal,Bakerganj,Faridpur,17.5889,0.045,35.3191
Barishal,Bakerganj,Garuria,16.2491,0.0452,41.8456
Barishal,Bakerganj,Kabai,16.2491,0.0452,41.8456
Barishal,Bakerganj,Kalaskathi,16.2491,0.0452,41.8456
Barishal,Bakerganj,Nalua,16.2491,0.0386,41.8456
Barishal,Bakerganj,Niamati,15.6312,0.0452,51.5272
Barishal,Bakerganj,Padree Shibpur,16.0716,0.0452,45.1168
Barishal,Bakerganj,Rangasree,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 01,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 02,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 03,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 04,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 05,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 06,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 07,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 08,16.2491,0.0452,41.8456
Barishal,Bakerganj,Ward No. 09,16.2491,0.0452,41.8456
Barishal,Banaripara,Baishari,14.9027,0.0446,60.8969
Barishal,Banaripara,Banaripara,14.9027,0.0446,60.8969
Barishal,Banaripara,Bisharkandi,14.4079,0.1069,64.395
Barishal,Banaripara,Chakhar,14.7053,0.0757,62.1114
Barishal,Banaripara,Iluhar,14.9027,0.0446,60.8969
Barishal,Banaripara,Saliabakpur,14.9027,0.0455,60.8969
Barishal,Banaripara,Syedkathi,14.7053,0.0766,62.1114
Barishal,Banaripara,Udaykathi,14.4079,0.0446,64.395
Barishal,Banaripara,Ward No. 01,14.9027,0.0446,60.8969
Barishal,Banaripara,Ward No. 02,14.9027,0.0446,60.8969
Barishal,Banaripara,Ward No. 03,14.9027,0.0446,60.8969
Barishal,Banaripara,Ward No. 04,14.9027,0.0446,60.8969
Barishal,Banaripara,Ward No. 05,14.9027,0.0446,60.8969
Barishal,Banaripara,Ward No. 06,14.9027,0.0446,60.8969
Barishal,Banaripara,Ward No. 07,14.9027,0.0446,60.8969
Barishal,Banaripara,Ward No. 08,14.9027,0.0446,60.8969
Barishal,Banaripara,Ward No. 09,14.9027,0.0446,60.8969
Barishal,Gaurnadi,Barthi,14.6017,0.2639,68.1134
Barishal,Gaurnadi,Batajor,14.5802,0.2005,55.3474
Barishal,Gaurnadi,Chandsi,14.3616,0.2319,60.3419
Barishal,Gaurnadi,Khanjapur,14.1059,0.2012,76.1702
Barishal,Gaurnadi,Mahilara,14.3616,0.2319,60.3419
Barishal,Gaurnadi,Nalchira,14.5802,0.2319,55.3474
Barishal,Gaurnadi,Sarikal,14.3551,0.2305,46.5271
Barishal,Gaurnadi,Ward No. 01,14.6017,0.2639,68.1134
Barishal,Gaurnadi,Ward No. 02,14.6017,0.2639,68.1134
Barishal,Gaurnadi,Ward No. 03,14.6017,0.2639,68.1134
Barishal,Gaurnadi,Ward No. 04,14.3616,0.2639,60.3419
Barishal,Gaurnadi,Ward No. 05,14.3616,0.2319,60.3419
Barishal,Gaurnadi,Ward No. 06,14.3616,0.2319,60.3419
Barishal,Gaurnadi,Ward No. 07,14.3616,0.2319,60.3419
Barishal,Gaurnadi,Ward No. 08,14.3616,0.2319,60.3419
Barishal,Gaurnadi,Ward No. 09,14.3616,0.2319,60.3419
Barishal,Hijla,Bara Jalia,15.1081,0.2874,38.1698
Barishal,Hijla,Dhulkhola,15.7407,0.313,36.1395
Barishal,Hijla,Guabaria,14.6425,0.2904,41.0852
Barishal,Hijla,Harinathpur,14.6327,0.3236,38.9355
Barishal,Hijla,Hizla Gourabdi,15.4491,0.32,32.9667
Barishal,Hijla,Memania,15.1081,0.322,38.1698
Barishal,Barishal Sadar (Kotwali),Chandpura,16.0585,0.0455,40.4306
Barishal,Barishal Sadar (Kotwali),Chandramohan,16.8703,0.0455,36.7758
Barishal,Barishal Sadar (Kotwali),Char Kaua,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Charbaria,14.9387,0.0455,45.1723
Barishal,Barishal Sadar (Kotwali),Charmonai,16.0585,0.0432,40.4306
Barishal,Barishal Sadar (Kotwali),Jagua,15.4279,0.0446,49.0456
Barishal,Barishal Sadar (Kotwali),Kashipur,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Raypasha Karapur,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Shayestabad,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Tungibaria,16.0585,0.0455,40.4306
Barishal,Mehendiganj,Alimabad,17.0256,0.0716,34.0214
Barishal,Mehendiganj,Andharmanik,14.6425,0.2589,41.0852
Barishal,Mehendiganj,Bhashanchar,15.8571,0.0412,40.7057
Barishal,Mehendiganj,Bidyanandanpur,15.4226,0.1332,43.2692
Barishal,Mehendiganj,Chanpur,16.0723,0.2467,35.6809
Barishal,Mehendiganj,Char Ekkaria,15.7407,0.2231,36.1395
Barishal,Mehendiganj,Char Gopalpur,16.0153,0.0457,37.3563
Barishal,Mehendiganj,Dakkhin Ulania,16.7199,0.3006,33.1564
Barishal,Mehendiganj,Darichar Khajuria,15.8571,0.1332,40.7057
Barishal,Mehendiganj,Gobindapur,15.6998,0.3078,34.3417
Barishal,Mehendiganj,Jangalia,16.0153,0.0419,37.3563
Barishal,Mehendiganj,Joynagar,14.8498,0.195,43.0291
Barishal,Mehendiganj,Lata,14.8498,0.1966,43.0291
Barishal,Mehendiganj,Mehendiganj,16.0723,0.1609,35.6809
Barishal,Mehendiganj,Sreepur,16.8703,0.0431,36.7758
Barishal,Mehendiganj,Uttar Ulania,15.7407,0.3099,36.1395
Barishal,Mehendiganj,Ward No. 01,16.0723,0.1621,35.6809
Barishal,Mehendiganj,Ward No. 02,16.0153,0.1609,37.3563
Barishal,Mehendiganj,Ward No. 03,16.0723,0.1609,35.6809
Barishal,Mehendiganj,Ward No. 04,16.0723,0.1898,35.6809
Barishal,Mehendiganj,Ward No. 05,16.0723,0.1609,35.6809
Barishal,Mehendiganj,Ward No. 06,16.0723,0.1609,35.6809
Barishal,Mehendiganj,Ward No. 07,16.0153,0.1609,37.3563
Barishal,Mehendiganj,Ward No. 08,16.0723,0.1609,35.6809
Barishal,Mehendiganj,Ward No. 09,16.0153,0.1306,37.3563
Barishal,Muladi,Batamara,14.3551,0.2956,46.5271
Barishal,Muladi,Char Kalekhan,14.4137,0.2937,44.6474
Barishal,Muladi,Gachhua,14.3551,0.3242,46.5271
Barishal,Muladi,Kazirchar,15.4226,0.1347,43.2692
Barishal,Muladi,Muladi,14.3551,0.2286,46.5271
Barishal,Muladi,Nazirpur,14.3551,0.2627,46.5271
Barishal,Muladi,Safipur,14.3551,0.3272,46.5271
Barishal,Muladi,Ward No. 01,14.3551,0.2594,46.5271
Barishal,Muladi,Ward No. 02,14.3551,0.2594,46.5271
Barishal,Muladi,Ward No. 03,14.8498,0.2278,43.0291
Barishal,Muladi,Ward No. 04,14.8498,0.2278,43.0291
Barishal,Muladi,Ward No. 05,14.8498,0.2594,43.0291
Barishal,Muladi,Ward No. 06,14.8498,0.2278,43.0291
Barishal,Muladi,Ward No. 07,14.3551,0.2594,46.5271
Barishal,Muladi,Ward No. 08,14.3551,0.2594,46.5271
Barishal,Muladi,Ward No. 09,14.3551,0.2594,46.5271
Barishal,Ujirpur,Bamrail,14.5802,0.1372,55.3474
Barishal,Ujirpur,Barakotha,14.7053,0.1372,62.1114
Barishal,Ujirpur,Guthia,15.0802,0.0455,57.6258
Barishal,Ujirpur,Harta,14.607,0.1372,73.8898
Barishal,Ujirpur,Jalla,14.3738,0.1691,62.5701
Barishal,Ujirpur,Otra,14.3738,0.1372,62.5701
Barishal,Ujirpur,Satla,14.607,0.1691,73.8898
Barishal,Ujirpur,Shikarpur,14.9914,0.1356,45.0244
Barishal,Ujirpur,Sholak,14.3738,0.1686,62.5701
Barishal,Ujirpur,Ward No. 01,14.9845,0.0757,48.5728
Barishal,Ujirpur,Ward No. 02,14.9845,0.0757,48.5728
Barishal,Ujirpur,Ward No. 03,14.9845,0.0757,48.5728
Barishal,Ujirpur,Ward No. 04,14.9845,0.0757,48.5728
Barishal,Ujirpur,Ward No. 05,14.9845,0.0455,48.5728
Barishal,Ujirpur,Ward No. 06,14.9845,0.0455,48.5728
Barishal,Ujirpur,Ward No. 07,15.0802,0.0455,57.6258
Barishal,Ujirpur,Ward No. 08,15.0802,0.0757,57.6258
Barishal,Ujirpur,Ward No. 09,15.0802,0.0757,57.6258
Barishal,Barishal Sadar (Kotwali),Ward No. 01,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 02,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 03,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 04,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 05,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 06,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 07,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 08,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 09,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 10,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 11,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 12,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 13,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 14,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 15,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 16,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 17,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 18,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 19,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 20,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 21,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 22,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 23,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 24,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 25,15.59,0.0446,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 26,15.59,0.0446,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 27,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 28,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 29,15.59,0.0455,43.9409
Barishal,Barishal Sadar (Kotwali),Ward No. 30,15.59,0.0455,43.9409
Bhola,Bhola Sadar,Alinagar,17.4189,0.2269,31.4178
Bhola,Bhola Sadar,Bapta,17.0256,0.2308,34.0214
Bhola,Bhola Sadar,Bheduria,17.0256,0.0486,34.0214
Bhola,Bhola Sadar,Bhelumia,17.5768,0.0718,33.091
Bhola,Bhola Sadar,Char Samaiya,17.0256,0.125,34.0214
Bhola,Bhola Sadar,Dakkhin Dighaldi,17.9156,0.1232,29.9877
Bhola,Bhola Sadar,Dhania,17.0256,0.2819,34.0214
Bhola,Bhola Sadar,Ilisha,17.0256,0.2881,34.0214
Bhola,Bhola Sadar,Kachia,17.0256,0.2844,34.0214
Bhola,Bhola Sadar,Pashchim Ilisha,15.9571,0.1519,33.9576
Bhola,Bhola Sadar,Rajapur,16.7199,0.2947,33.1564
Bhola,Bhola Sadar,Shibpur,17.504,0.2787,30.7466
Bhola,Bhola Sadar,Uttar Dighaldi,17.4189,0.1487,31.4178
Bhola,Bhola Sadar,Ward No. 01,17.0256,0.2553,34.0214
Bhola,Bhola Sadar,Ward No. 02,17.0256,0.2553,34.0214
Bhola,Bhola Sadar,Ward No. 03,17.0256,0.2535,34.0214
Bhola,Bhola Sadar,Ward No. 04,17.0256,0.2031,34.0214
Bhola,Bhola Sadar,Ward No. 05,17.0256,0.2287,34.0214
Bhola,Bhola Sadar,Ward No. 06,17.0256,0.2553,34.0214
Bhola,Bhola Sadar,Ward No. 07,17.0256,0.254,34.0214
Bhola,Bhola Sadar,Ward No. 08,17.4189,0.2535,31.4178
Bhola,Bhola Sadar,Ward No. 09,17.4189,0.2535,31.4178
Bhola,Borhanuddin,Bara Manika,18.7758,0.1894,27.3816
Bhola,Borhanuddin,Deula,18.9594,0.0889,26.8524
Bhola,Borhanuddin,Gangapur,18.0424,0.0512,30.8147
Bhola,Borhanuddin,Hasannagar,19.7022,0.2363,20.0792
Bhola,Borhanuddin,Kachia,19.5152,0.1703,23.1539
Bhola,Borhanuddin,Kutba,18.7758,0.1869,27.3816
Bhola,Borhanuddin,Pakkhia,19.1959,0.2043,24.0485
Bhola,Borhanuddin,Sachra,18.9594,0.0912,26.8524
Bhola,Borhanuddin,Tobgi,19.5152,0.2194,23.1539
Bhola,Borhanuddin,Ward No. 01,18.7758,0.1838,27.3816
Bhola,Borhanuddin,Ward No. 02,18.7758,0.1838,27.3816
Bhola,Borhanuddin,Ward No. 03,18.7758,0.1838,27.3816
Bhola,Borhanuddin,Ward No. 04,18.7758,0.1838,27.3816
Bhola,Borhanuddin,Ward No. 05,18.7758,0.1838,27.3816
Bhola,Borhanuddin,Ward No. 06,18.7758,0.1838,27.3816
Bhola,Borhanuddin,Ward No. 07,18.9594,0.1838,26.8524
Bhola,Borhanuddin,Ward No. 08,18.9594,0.1838,26.8524
Bhola,Borhanuddin,Ward No. 09,18.9594,0.1614,26.8524
Bhola,Charfasson,Abdullapur,20.0952,0.2306,30.1875
Bhola,Charfasson,Abu Bakarpur,19.8838,0.1086,27.2284
Bhola,Charfasson,Adhykkha Nazrulnagar,20.4349,0.2008,31.7802
Bhola,Charfasson,Ahammadpur,20.0952,0.0597,30.1875
Bhola,Charfasson,Aminabad,19.8838,0.1985,27.2284
Bhola,Charfasson,Aslampur,21.0048,0.2694,18.9694
Bhola,Charfasson,Char Kalmi,20.1126,0.1896,30.8273
Bhola,Charfasson,Char Kukrimukri,21.1209,0.3317,29.9009
Bhola,Charfasson,Char Madraj,20.9859,0.2976,20.7886
Bhola,Charfasson,Char Manika,19.6559,0.2061,41.8808
Bhola,Charfasson,Dhalchar,21.5055,0.297,21.1062
Bhola,Charfasson,Ewajpur,20.1126,0.3284,30.8273
Bhola,Charfasson,Hazariganj,23.0074,0.3248,12.8263
Bhola,Charfasson,Jahanpur,21.2663,0.3146,19.4924
Bhola,Charfasson,Jinnagar,20.2714,0.3081,22.4025
Bhola,Charfasson,Mujibnagar,19.4476,0.0676,32.7119
Bhola,Charfasson,Nilkamal,19.3775,0.0816,31.1977
Bhola,Charfasson,Nurabad,20.0952,0.0592,30.1875
Bhola,Charfasson,Omarpur,20.2714,0.2073,22.4025
Bhola,Charfasson,Osmanganj,19.8838,0.1046,27.2284
Bhola,Charfasson,Rasulpur,20.3635,0.3417,27.618
Bhola,Charfasson,Ward No. 01,20.2714,0.238,22.4025
Bhola,Charfasson,Ward No. 02,20.2714,0.2507,22.4025
Bhola,Charfasson,Ward No. 03,20.2714,0.2905,22.4025
Bhola,Charfasson,Ward No. 04,20.2714,0.2642,22.4025
Bhola,Charfasson,Ward No. 05,20.2714,0.275,22.4025
Bhola,Charfasson,Ward No. 06,20.2714,0.3053,22.4025
Bhola,Charfasson,Ward No. 07,20.2714,0.2905,22.4025
Bhola,Charfasson,Ward No. 08,20.2714,0.2905,22.4025
Bhola,Charfasson,Ward No. 09,20.2714,0.277,22.4025
Bhola,Daulatkhan,Bhabanipur,18.7103,0.2656,23.4102
Bhola,Daulatkhan,Char Khalifa,17.9156,0.2421,29.9877
Bhola,Daulatkhan,Char Pata,17.4189,0.2707,31.4178
Bhola,Daulatkhan,Dakkhin Joynagar,18.7758,0.1935,27.3816
Bhola,Daulatkhan,Hajipur,18.9885,0.2609,22.1045
Bhola,Daulatkhan,Madanpur,17.1944,0.2834,28.0063
Bhola,Daulatkhan,Medua,18.1879,0.2722,27.0427
Bhola,Daulatkhan,Syedpur,19.1959,0.258,24.0485
Bhola,Daulatkhan,Uttar Joynagar,17.9156,0.2195,29.9877
Bhola,Daulatkhan,Ward No. 01,18.9885,0.2641,22.1045
Bhola,Daulatkhan,Ward No. 02,18.9885,0.2666,22.1045
Bhola,Daulatkhan,Ward No. 03,18.9885,0.2641,22.1045
Bhola,Daulatkhan,Ward No. 04,18.9885,0.2641,22.1045
Bhola,Daulatkhan,Ward No. 05,18.9885,0.2641,22.1045
Bhola,Daulatkhan,Ward No. 06,18.9885,0.2641,22.1045
Bhola,Daulatkhan,Ward No. 07,19.1959,0.2641,24.0485
Bhola,Daulatkhan,Ward No. 08,18.9885,0.2641,22.1045
Bhola,Daulatkhan,Ward No. 09,19.1959,0.2616,24.0485
Bhola,Lalmohan,Badarpur,19.1272,0.0406,29.2183
Bhola,Lalmohan,Char Bhuta,20.4373,0.1347,22.5328
Bhola,Lalmohan,Dhali Gournagar,20.5897,0.2054,20.6987
Bhola,Lalmohan,Farajganj,19.7533,0.0502,26.2367
Bhola,Lalmohan,Kalma,20.1787,0.0836,19.8184
Bhola,Lalmohan,Lalmohan,20.4373,0.0668,22.5328
Bhola,Lalmohan,Lord Hardinge,19.6398,0.2324,12.48
Bhola,Lalmohan,Pashchim Char Umed,19.7533,0.0492,26.2367
Bhola,Lalmohan,Ramaganj,20.4373,0.171,22.5328
Bhola,Lalmohan,Ward No. 01,20.4373,0.0816,22.5328
Bhola,Lalmohan,Ward No. 02,20.4373,0.0981,22.5328
Bhola,Lalmohan,Ward No. 03,20.4373,0.0981,22.5328
Bhola,Lalmohan,Ward No. 04,20.4373,0.0816,22.5328
Bhola,Lalmohan,Ward No. 05,20.4373,0.0808,22.5328
Bhola,Lalmohan,Ward No. 06,20.4373,0.0816,22.5328
Bhola,Lalmohan,Ward No. 07,19.7533,0.0655,26.2367
Bhola,Lalmohan,Ward No. 08,19.7533,0.0655,26.2367
Bhola,Lalmohan,Ward No. 09,19.7533,0.0502,26.2367
Bhola,Lalmohan,Ward No. 10,20.4373,0.0659,22.5328
Bhola,Lalmohan,Ward No. 11,20.4373,0.0993,22.5328
Bhola,Lalmohan,Ward No. 12,20.4373,0.0981,22.5328
Bhola,Monpura,Dakkhin Sakuchia,21.1962,0.299,17.9782
Bhola,Monpura,Hajirhat,21.229,0.257,15.3239
Bhola,Monpura,Manpura,21.205,0.2041,14.8063
Bhola,Monpura,Uttar Sakuchia,21.229,0.2645,15.3239
Bhola,Tazumuddin,Bara Malangchara,19.7022,0.2469,20.0792
Bhola,Tazumuddin,Chanchra,20.8166,0.211,16.9718
Bhola,Tazumuddin,Chandpur,20.1787,0.2149,19.8184
Bhola,Tazumuddin,Shambhupur,20.1787,0.2167,19.8184
Bhola,Tazumuddin,Sonapur,22.8647,0.2214,20.1262
Jhalokati,Jhalokathi Sadar,Basanda,14.8633,0.0446,51.954
Jhalokati,Jhalokathi Sadar,Binaykathi,15.4279,0.0446,49.0456
Jhalokati,Jhalokathi Sadar,Gabha Ramchandrapur,15.0802,0.0446,57.6258
Jhalokati,Jhalokathi Sadar,Gabkhan Dhansiri,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Keora,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Kirtipasha,14.9027,0.0446,60.8969
Jhalokati,Jhalokathi Sadar,Nabagram,14.8633,0.0446,51.954
Jhalokati,Jhalokathi Sadar,Nathullabad,15.4279,0.0446,49.0456
Jhalokati,Jhalokathi Sadar,Ponabalia,14.9985,0.0446,53.5575
Jhalokati,Jhalokathi Sadar,Sheikherhat,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Ward No. 01,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Ward No. 02,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Ward No. 03,14.8633,0.0446,51.954
Jhalokati,Jhalokathi Sadar,Ward No. 04,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Ward No. 05,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Ward No. 06,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Ward No. 07,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Ward No. 08,14.7567,0.0446,54.0284
Jhalokati,Jhalokathi Sadar,Ward No. 09,14.7567,0.0446,54.0284
Jhalokati,Kanthalia,Amua,15.1236,0.178,59.5975
Jhalokati,Kanthalia,Awrabunia,14.9363,0.08,55.3965
Jhalokati,Kanthalia,Chenchri Rampur,15.1236,0.178,59.5975
Jhalokati,Kanthalia,Kanthalia,15.1236,0.178,59.5975
Jhalokati,Kanthalia,Patikhalghata,15.1236,0.212,59.5975
Jhalokati,Kanthalia,Shoulajalia,14.9363,0.1464,55.3965
Jhalokati,Nalchhity,Bhairabpasha,15.4279,0.0446,49.0456
Jhalokati,Nalchhity,Dapdapia,15.7168,0.0446,44.7679
Jhalokati,Nalchhity,Kulkathi,15.6312,0.0446,51.5272
